#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? 〜ます             动词敬体非过去时，肯定
? 〜ません           动词敬体非过去时，否定
? 〜ました           动词敬体过去时，肯定
? 〜ませんでした     动词敬体过去时，否定

0 あげる                             <他动2>给(他人)，给予
0 でかける         [出かける]        <自动2>出门，外出
3 とどける         [届ける]          <他动2>送到，送给
0 きめる           [決める]          <他动2>决定
0 いれる           [入れる]          <他动2>放入，装进
2 つける           [付ける]          <他动2>蘸上，抹上
0 おしえる         [教える]          <他动2>教，告诉
2 できる           [出来る]          <自动2>做好，做完
0 おくれる         [遅れる]          <自动2>迟到，耽误
1 でる             [出る]            <自动2>出，出去
3 しらべる         [調べる]          <他动2>调查，查阅
0 つたえる         [伝える]          <他动2>转告，转达
0 ねる             [寝る]            <自动2>睡觉，(躺着)休息

? みます           [見ます]          見る:终止形,敬体非过去时，肯定
? たべます         [食べます]        食べる:终止形,敬体非过去时，肯定
? おきます         [起きます]        起きる:终止形,敬体非过去时，肯定
? くれます                           くれる:终止形,敬体非过去时，肯定
? あげます                           あげる:终止形,敬体非过去时，肯定
? でかけます       [出かけます]      出かける:终止形,敬体非过去时，肯定
? とどけます       [届けます]        届ける:终止形,敬体非过去时，肯定
? きめます         [決めます]        決める:终止形,敬体非过去时，肯定
? いれます         [入れます]        入れる:终止形,敬体非过去时，肯定
? つけます         [付けます]        付ける:终止形,敬体非过去时，肯定
? おしえます       [教えます]        教える:终止形,敬体非过去时，肯定
? できます         [出来ます]        出来る:终止形,敬体非过去时，肯定
? おくれます       [遅れます]        遅れる:终止形,敬体非过去时，肯定
1 でます           [出ます]          出る:终止形,敬体非过去时，肯定
3 しらべます       [調べます]        調べる:终止形,敬体非过去时，肯定
0 つたえます       [伝えます]        伝える:终止形,敬体非过去时，肯定
0 ねます           [寝ます]          寝る:终止形,敬体非过去时，肯定

? おき             [起き]            起きる:第一连用形，表中顿、并列
? でかけ           [出かけ]          出かける:第一连用形，表中顿、并列

? おきない         [起きない]        起きる:终止形,简体非过去式，否定
? でかけない       [出かけない]      出かける:终止形,简体非过去式，否定

? おきて           [起きて]          起きる:第二连用形，表行为方法/原因理由
? でかけて         [出かけて]        出かける:第二连用形，表行为方法/原因理由

? おきた           [起きた]          起きる:终止形,简体过去式，肯定
? でかけた         [出かけた]        出かける:终止形,简体过去式，肯定


? する                               <自他动3>搞，干，做
1 くる             [来る]            <自动3>来，到来
0 べんきょう       [勉強]            <名/他动3>学习，用功
1 じゅぎょう       [授業]            <名,自动3>课；授课，上课
0 りよう           [利用]            <名/他动3>利用，使用
0 きねん           [記念]            <名/他动3>纪念
0 さつえい         [撮影]            <名/他动3>摄影
0 かいもの         [買い物]          <名/自动3>买东西，购物
0 けっこん         [結婚]            <名/自动3>结婚
0 しんがく         [進学]            <名/自动3>升学
0 そつぎょう       [卒業]            <名/自动3>毕业
0 かつどう         [活動]            <名/自动3>活动；工作
0 こうえん         [講演]            <名/自动3>讲演，(作)报告
0 かんこう         [観光]            <名/他动3>观光
0 そうだん         [相談]            <名/他动3>商量
3 おおそうじ       [大掃除]          <名/他动3>大扫除
0 しょくじ         [食事]            <名/自动3>吃饭，进餐
0 せいざ           [正座]            <名/自动3>跪坐
1 ようい           [用意]            <名/自他动3>准备，预备(东西已放好)
0 せつめい         [説明]            <名/他动3>说明，解释
0 やくそく         [約束]            <名/自他动3>约定
0 かんぱい         [乾杯]            <名/动3>干杯
1 しょうたい       [招待]            <名/他动3>招持，邀请
2 おしゃべり                         <自动3>闲聊
0 したく           [支度]            <名/自他动3>预备，准备(强调正在准备)
0 はっぴょう       [発表]            <名/自他动3>发表，发布
0 きんちょう       [緊張]            <名/自动3>(神经、气氛等)紧张
0 りょこう         [旅行]            <名/自动3>旅行
0 にゅうりょく     [入力]            <名/动3>输入
0 しんぱい         [心配]            <名/形2/自动3>担心，挂念，不安
1 じゅんび         [準備]            <名/他动3>准备
1 そうさ           [操作]            <名/他动3>操作

? りようします     [利用します]      利用する:终止形,敬体非过去时，肯定
? きます           [来ます]          来る:终止形,敬体非过去时，肯定

? りようし         [利用し]          利用する:第一连用形，表中顿、并列
? き               [来]              来る:第一连用形，表中顿、并列

? りようしない     [利用しない]      利用する:终止形,简体非过去式，否定
? こない           [来ない]          来る:终止形,简体非过去式，否定

? りようして       [利用して]        利用する:第二连用形，表行为方法/原因理由
? きて             [来て]            来る:第二连用形，表行为方法/原因理由

? りようした       [利用した]        利用する:终止形,简体过去式，肯定
? きた             [来た]            来る:终止形,简体过去式，肯定
